PlayerOne,PlayerTwo,Dictionary,ScorePlayerOne,ScorePlayerTwo,NumTurns,MaxScore,MinScore,MeanScore
Toh Weibin,Ryan Wee,CSW21,442,467,27,95,5,33.67
Ryan Wee,Tony Sim,CSW21,520,368,26,86,0,34.15
Ryan Wee,Rajesh,CSW21,565,394,34,104,0,35.1
Ryan Wee,Poh Ying Ming,CSW21,393,399,25,84,5,31.68
Matthew O'Connor,Justin Morris,CSW21,378,305,29,45,0,23.55
Juraj Pivovarov,Kenji Matsumoto,WOW24,276,486,24,82,0,31.75
Kenji Matsumoto,Jim Sherrill,WOW24,449,394,27,98,2,31.22
strataji,BestBot,NWL23,440,383,28,91,0,29.39
Barbara Bultz,Josh Sokol,NWL23,355,444,27,76,6,29.59
Steve Perry,Brian Po,CSW21,466,484,23,89,7,41.3
Brian Po,Chris Finlay,CSW21,506,297,25,80,4,32.12
Brian Po,Gary Oliver,CSW21,540,424,26,86,0,37.08
Andrew Eames,Brian Po,CSW21,342,466,27,77,0,29.93
Brian Po,Jack Moran,CSW21,455,457,25,80,2,36.48
Nuala O'Rourke,Brian Po,CSW21,439,401,25,96,0,33.6
Brian Po,Rick Blakeway,CSW21,469,390,25,68,2,34.36
Brian Po,Rick Blakeway,CSW21,443,430,26,83,0,33.58
Rick Blakeway,Brian Po,CSW21,372,355,31,90,5,25.83
Brian Po,Jack Moran,CSW21,449,403,27,86,5,31.56
Steve Perry,Brian Po,CSW21,365,460,34,86,0,27.24
Craig Solomons,Brian Po,CSW21,481,362,25,82,2,33.72
Brian Po,Nuala O'Rourke,CSW21,378,390,34,98,4,27.88
Brian Po,Rory Kemp,CSW21,574,377,25,87,0,38.04
Thacha,Nopparuj,CSW21,491,397,35,100,0,26.59
Nopparuj,Thacha,CSW21,404,484,30,82,0,29.6
Thacha,Nopparuj,CSW21,426,416,26,92,0,32.38
Richard Popper,Samuel Kaplan,NWL23,409,434,24,91,8,35.12
Kong Chock Heng,Ryan Wee,CSW21,354,430,27,79,6,29.04
Nopparuj,Thacha,CSW21,500,424,23,91,6,40.17
Thacha,Nopparuj,CSW21,496,349,28,83,5,31.78
Thacha,Nopparuj,CSW21,457,373,25,79,2,33.2
Nopparuj,Thacha,CSW21,363,454,28,85,2,32.15
Thacha,Nopparuj,CSW21,549,378,27,97,0,36.31
Nopparuj,Thacha,CSW21,435,363,25,100,2,31.92
Dan Wachtell,James Donnelly,NWL23,361,325,34,92,0,20.18
James Donnelly,Kenneth Rubin,NWL23,489,340,26,93,12,36.88
Natakorn,Sakdipong,CSW21,442,434,31,97,4,28.26
Orry Swift,Mike Frentz,WOW24,452,354,25,84,2,32.24
Sam Hollington,Mike Frentz,WOW24,456,468,26,140,4,35.54
Mike Frentz,Kenji Matsumoto,WOW24,475,347,23,107,2,35.74
Jerry Lerman,Mike Frentz,WOW24,395,417,25,83,5,32.48
Mike Frentz,Kevin Burbridge,WOW24,488,400,26,85,0,34.15
Mike Frentz,Jackson Smylie,WOW24,476,545,25,98,0,40.84
Eric Goldstein,Mike Frentz,WOW24,317,560,26,94,0,33.73
Mike Frentz,Steve Grob,WOW24,451,370,27,79,4,34.27
Orry Swift,Mike Frentz,WOW24,420,346,25,77,2,30.64
Laurie Cohen,Mike Frentz,WOW24,443,407,24,84,8,35.42
Mike Frentz,Sam Hollington,WOW24,421,410,24,95,10,34.62
Mike Frentz,Joey Krafchick,WOW24,327,372,30,78,6,26.76
Mike Frentz,Roy Kamen,WOW24,468,394,33,74,0,29.25
