PlayerOne,PlayerTwo,Dictionary,ScorePlayerOne,ScorePlayerTwo,NumTurns,MaxScore,MinScore,MeanScore
Nopparuj,Thacha,CSW21,435,363,25,100,2,31.92
Dan Wachtell,James Donnelly,NWL23,361,325,34,92,0,20.18
James Donnelly,Kenneth Rubin,NWL23,489,340,26,93,12,36.88
Richard Popper,Samuel Kaplan,NWL23,409,434,24,91,8,35.12
Natakorn,Sakdipong,CSW21,442,434,31,97,4,28.26
Orry Swift,Mike Frentz,WOW24,452,354,25,84,2,32.24
Sam Hollington,Mike Frentz,WOW24,456,468,26,140,4,35.54
Mike Frentz,Kenji Matsumoto,WOW24,475,347,23,107,2,35.74
Jerry Lerman,Mike Frentz,WOW24,395,417,25,83,5,32.48
Mike Frentz,Kevin Burbridge,WOW24,488,400,26,85,0,34.15
Mike Frentz,Jackson Smylie,WOW24,476,545,25,98,0,40.84
Eric Goldstein,Mike Frentz,WOW24,317,560,26,94,0,33.73
Mike Frentz,Steve Grob,WOW24,451,370,27,79,4,34.27
Orry Swift,Mike Frentz,WOW24,420,346,25,77,2,30.64
Laurie Cohen,Mike Frentz,WOW24,443,407,24,84,8,35.42
Mike Frentz,Sam Hollington,WOW24,421,410,24,95,10,34.62
Mike Frentz,Joey Krafchick,WOW24,327,372,30,78,6,26.76
Mike Frentz,Roy Kamen,WOW24,468,394,33,74,0,29.25
Eric Goldstein,Mike Frentz,WOW24,392,413,30,88,0,26.83
Zachary Ansell,Mike Frentz,WOW24,327,479,29,86,0,27.79
Laurie Cohen,Mike Frentz,WOW24,422,348,29,95,0,26.55
Rafi Stern,Mike Frentz,WOW24,487,380,26,74,7,33.35
Mike Frentz,Nigel Peltier,WOW24,435,411,22,80,18,38.45
Mike Frentz,Jackson Smylie,WOW24,407,468,34,86,0,29.12
Juraj Pivovarov,Mike Frentz,WOW24,342,451,34,86,0,23.32
Mike Frentz,Jonathan Lindh,WOW24,430,389,29,86,0,28.24
Orry Swift,Mike Frentz,WOW24,459,377,31,94,0,26.97
Mike Frentz,Trip Payne,WOW24,404,395,33,81,0,27.16
Edwin Roth,Mike Frentz,WOW24,364,418,32,72,0,27.23
Samuel Kaplan,David Firstman,NWL23,436,376,28,84,0,29.0
John Aiyedun,David Ogedengbe,CSW21,457,314,30,80,5,33.04
David Ogedengbe,John Aiyedun,CSW21,0,0,23,84,10,35.86
David Ogedengbe,John Aiyedun,CSW21,0,0,23,84,10,35.86
John Aiyedun,David Ogedengbe,CSW21,404,449,25,92,0,34.12
David Ogedengbe,John Aiyedun,CSW21,0,0,19,84,10,42.11
John Aiyedun,David Ogedengbe,CSW21,0,0,24,91,0,32.43
Mike Frentz,Kenji Matsumoto,WOW24,428,369,30,76,0,26.57
Mike Frentz,Norases Vesdapunt,WOW24,314,407,29,82,0,24.86
Mike Frentz,David A Brown,WOW24,478,383,22,92,6,39.14
Stan Miranda,Mike Frentz,WOW24,418,466,28,104,6,35.56
Mike Frentz,Sam Hollington,WOW24,454,463,23,90,7,45.09
Jill Turney,Mike Frentz,WOW24,388,416,23,80,7,34.96
Joel Elkins,Mike Frentz,WOW24,508,372,25,80,8,35.2
David Ogedengbe,John Aiyedun,CSW21,0,0,24,77,10,31.61
David Ogedengbe,John Aiyedun,CSW21,467,495,24,102,0,40.08
John Aiyedun,David Ogedengbe,CSW21,0,0,22,90,11,38.43
John Aiyedun,David Ogedengbe,CSW21,0,0,24,158,12,44.18
David Ogedengbe,John Aiyedun,CSW21,361,547,28,94,4,40.35
Jonathan Lindh,James Donnelly,NWL23,416,417,27,80,0,30.85
James Donnelly,Craig Rowland,NWL23,493,309,24,82,3,33.42
James Donnelly,Edwin Roth,NWL23,414,357,24,84,8,32.12
Eric Goldstein,James Donnelly,NWL23,449,408,27,79,12,31.74
James Donnelly,Scott Appel,NWL23,456,411,25,86,2,34.68
Troy Thompson,Jonathan Lindh,NWL23,499,333,24,83,0,34.67
Sebastian Knowles,Jonathan Lindh,NWL23,440,404,32,90,0,26.38
Jonathan Lindh,Caesar Jaramillo,NWL23,453,356,30,90,0,26.97
Jonathan Lindh,Paul Avrin,NWL23,410,399,27,74,2,29.96
